,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
2005,Ciara O'Rourke,Sen. Dianne Feinstein tweeted about getting COVID-19 and flu vaccines days before her death.,Viral image,"October 2, 2023",false,FAKE,0
2006,Ciara O'Rourke,Video shows Rep. Alexandria Ocasio-Cortez crying on CNN.,Facebook posts,"October 2, 2023",false,FAKE,0
2007,Ciara O'Rourke,Video shows U.S. Reps. Alexandria Ocasio-Cortez and Nancy Pelosi discussing Jan. 6 with President Joe Biden.,Viral image,"October 2, 2023",false,FAKE,0
2008,Michelle Andrews,"“Under ‘Crooked Joe’ Biden, there has been a catastrophic increase in shortages of essential medicines.”",Donald Trump,"October 2, 2023",false,FAKE,0
2009,Grace Abels,A video shows children disappearing from inside a school bus.,Facebook posts,"September 29, 2023",pants-fire,FAKE,0
2010,Jeff Cercone,New York City is spraying unsafe pesticides to combat West Nile virus.,Instagram posts,"September 29, 2023",false,FAKE,0
2011,Ciara O'Rourke,A Sept. 20 video shows President Joe Biden’s body double.,Instagram posts,"September 29, 2023",false,FAKE,0
2012,Marta Campabadal,"""En ciertos estados el gobierno de Estados Unidos comprará los paneles por ti y te los dará sin ningún costo en caso de que te pases a energía solar en las próximas semanas"".",Facebook posts,"• September 29,",false,FAKE,0
2013,Jeff Cercone,Arizona Senate “indicted” Gov. Katie Hobbs.,TikTok posts,"September 29, 2023",pants-fire,FAKE,0
2014,Ciara O'Rourke,"“Pentagon releases NASA footage of 2,000 mile long UFO near Saturn.”",Facebook posts,"September 29, 2023",false,FAKE,0
2015,Marta Campabadal,"""Se declara emergencia máxima"" por congelamiento en Estados Unidos.",Facebook posts,"• September 29,",false,FAKE,0
2016,Ciara O'Rourke,“Three minutes ago Trump cries after losing everything after new evidence exposed.”,Facebook posts,"September 29, 2023",false,FAKE,0
2017,Ciara O'Rourke,President Joe Biden and his son snorted cocaine in the White House.,Instagram posts,"September 29, 2023",false,FAKE,0
2018,Ciara O'Rourke,Video shows “everyone will be wiped out in 21 days.”,Facebook posts,"September 29, 2023",false,FAKE,0
2019,Louis Jacobson,“We are more energy independent today” under President Joe Biden.,Gavin Newsom,"September 28, 2023",half-true,FAKE,0
2020,Grace Abels,"Being transgender is a ""mental health disorder.""",Vivek Ramaswamy,"September 28, 2023",false,FAKE,0
2021,Sara Swann,"World Economic Forum “elites” are pushing the Great Reset, which aims to control people by taking all their possessions.",Instagram posts,"September 28, 2023",false,FAKE,0
2022,Ciara O'Rourke,“Klaus Schwab admits agenda 2030 is failing as millions rise up against new world order.”,Viral image,"September 28, 2023",false,FAKE,0
2023,Maria Briceño,"“Si ganas menos de $50,000 al año” puedes calificar para un crédito de salud y usarlo para “lo que sea”.",Facebook posts,"September 28, 2023",barely-true,FAKE,0
2024,Ciara O'Rourke,A 1970s public service announcement offers tips for avoiding the coronavirus.,Viral image,"September 28, 2023",false,FAKE,0
2025,Ciara O'Rourke,“Donald Trump exposes why 9/11 was an inside job.”,Instagram posts,"September 28, 2023",false,FAKE,0
2026,Loreben Tuquero,"At a United Nations summit, President Joe Biden and U.N. Secretary-General António Guterres warned of a planned disaster.",Facebook posts,"September 28, 2023",false,FAKE,0
2027,Adrianne Dering,"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",Mike Oliverio,"September 28, 2023",true,REAL,1
2028,Amy Sherman,“Ron DeSantis is against fracking. He is against drilling.”,Nikki Haley,"September 28, 2023",half-true,FAKE,0
2029,Maria Briceño,“Bill Gates está liberando miles y miles de mosquitos modificados genéticamente para que le piquen a las personas…y que pueden ser perfectamente una arma biológica”.,Facebook posts,"September 27, 2023",false,FAKE,0
2030,Sara Swann,"""Trump just bought a handgun!”",Instagram posts,"September 27, 2023",false,FAKE,0
2031,Ciara O'Rourke,Video shows all highways closed in Berlin “right now.”,Facebook posts,"September 27, 2023",false,FAKE,0
2032,Sara Swann,"“They brought in 25,000 (National Guard members) because Biden couldn't get enough people to his inauguration.”",Instagram posts,"September 27, 2023",false,FAKE,0
2033,Ciara O'Rourke,A greeting message for Ukraine President Volodymyr Zelenskyy said “Glory to Urine.”,Viral image,"September 27, 2023",false,FAKE,0
2034,Loreben Tuquero,"A video proves U.S. Attorney General Merrick Garland faces “a lying charge” after giving a fake number to Sen. John Kennedy, R-La., at a hearing.",Facebook posts,"September 26, 2023",pants-fire,FAKE,0
2035,Madison Czopek,"“Joe Biden grants voting rights to 500,000 invaders.”",TikTok posts,"September 26, 2023",false,FAKE,0
2036,Sara Swann,"Under Project Hamilton, “every dollar you hold in your bank account, your wallet and even your retirement” will be confiscated and “replaced with a dangerous new totally digital dollar.”",Facebook posts,"September 26, 2023",false,FAKE,0
2037,Kylie Tuttle,"“Under Jim Justice,” West Virginia had “the lowest unemployment rate in state history.”",Jim Justice,"September 26, 2023",mostly-true,FAKE,0
2038,Jeff Cercone,"U.S. aid to Ukraine will continue during a government shutdown, but programs for food stamps, transportation, education, justice, environmental protection and homelessness will not.",Instagram posts,"September 26, 2023",half-true,FAKE,0
2039,Grace Abels,Image shows Sen. Rand Paul in a bathrobe on the steps of the U.S. Capitol.,Facebook posts,"September 25, 2023",false,FAKE,0
2040,Marta Campabadal,"Una receta casera ""restaura la visión en 7 días, el glaucoma y las cataratas quedan en el pasado"".",Facebook posts,"• September 25,",false,FAKE,0
2041,Maria Briceño,"“El estado de California podría quitarte a tus hijos si no aceptas cambiarles el sexo"".",TikTok posts,"September 25, 2023",false,FAKE,0
2042,Jeff Cercone,"""Texas teacher fired for reading Diary of Anne Frank to class.”",Randi Weingarten,"September 22, 2023",half-true,FAKE,0
2043,Madison Czopek,Giant human skeletons as large as 36 feet have been “unearthed and documented” in historical records.,Facebook posts,"September 22, 2023",false,FAKE,0
2044,Marta Campabadal,"Since Joe Biden “has taken office, unemployment in our (Latino) community has been cut in half.""",Joe Biden,"• September 22,",mostly-true,FAKE,0
2045,Maria Briceño,"Supervisores del TSA de Estados Unidos tuvieron una junta y ""para mediados de octubre van a decir que cualquiera persona que vaya a volar, va a tener que usar el tapabocas otra vez"".",Facebook posts,"September 22, 2023",false,FAKE,0
2046,Paul Specht,“Gov. Roy Cooper is blocking a pioneering school choice bill that would give thousands of low-income parents the funds to allow their kids to get a high-quality education.”,Unleash Prosperity Now,"September 21, 2023",barely-true,FAKE,0
2047,Sara Swann,"""Poland declares war on Russia.”",Facebook posts,"September 21, 2023",false,FAKE,0
2048,Ciara O'Rourke,Video shows a Federal Emergency Management Agency “concentration camp” in Hawaii.,Facebook posts,"September 21, 2023",pants-fire,FAKE,0
2049,Ciara O'Rourke,"Video shows Elon Musk promising $45,000 in Canadian currency for participating Canadian citizens.",Facebook posts,"September 21, 2023",false,FAKE,0
2050,Ciara O'Rourke,"Princess Diana, actor Heath Ledger and musician John Lennon were “killed for exposing the truth.”",Facebook posts,"September 21, 2023",false,FAKE,0
2051,Jeff Cercone,An emergency broadcast system test will “send a specific high-frequency signal … with the intention of activating graphene oxide” in people.,Instagram posts,"September 21, 2023",pants-fire,FAKE,0
2052,Ciara O'Rourke,Photo shows Hillary Clinton on a “lethal injection medical table.”,Facebook posts,"September 21, 2023",pants-fire,FAKE,0
2053,Maria Briceño,"“Bill Gates financió la investigación sobre garrapatas de ganado modificadas genéticamente"" y ahora 450,000 estadounidenses ""tienen alergias a la carne por el síndrome alfa-gal, causado por picaduras de garrapatas”.",Facebook posts,"September 21, 2023",false,FAKE,0
2054,Ciara O'Rourke,Video shows New York City police “arrest two young people for sleeping on concrete blocks.”,Instagram posts,"September 21, 2023",false,FAKE,0
2055,Ciara O'Rourke,“Janet Yellen arrested for treason.”,Facebook posts,"September 21, 2023",pants-fire,FAKE,0
2056,Matthew Crowley,“CEOs are now making 400 times more than their average worker.”,Bernie Sanders,"September 21, 2023",mostly-true,FAKE,0
2057,Sara Swann,Video shows Republican Missouri state senators using flamethrowers to burn books.,Instagram posts,"September 21, 2023",false,FAKE,0
2058,Ciara O'Rourke,“People who took the jab are technically ‘non human species.’”,Instagram posts,"September 20, 2023",pants-fire,FAKE,0
2059,Ciara O'Rourke,U.S. Rep. Nancy Pelosi was arrested.,Facebook posts,"September 20, 2023",false,FAKE,0
2060,Ciara O'Rourke,"“World leaders & elite businessmen are ingesting the blood of young children in order to achieve ‘eternal youth,’ a CBS report warns.”",Instagram posts,"September 20, 2023",pants-fire,FAKE,0
2061,Grace Abels,“Navy SEALs Save Missing Maui Children” who were padlocked in cages.,TikTok posts,"September 20, 2023",false,FAKE,0
2062,Sara Swann,Video shows an April 2023 clown attack in Paris.,Facebook posts,"September 20, 2023",false,FAKE,0
2063,Loreben Tuquero,The World Economic Forum is calling “for COVID concentration camps.”,Instagram posts,"September 20, 2023",false,FAKE,0
2064,Loreben Tuquero,Video proves Sen. John Fetterman has a body double.,Social Media,"September 20, 2023",pants-fire,FAKE,0
2065,Samantha Putterman,Video shows Donald Trump believes “there has to be some form of punishment” for women who have abortions.,Joe Biden,"September 19, 2023",barely-true,FAKE,0
2066,Ciara O'Rourke,“Walmart must pay $500 to customers who made purchases in the last 180 days.”,Facebook posts,"September 19, 2023",false,FAKE,0
2067,Ciara O'Rourke,Former President Donald Trump called Michelle Obama “Mike” in this tweet.,Viral image,"September 19, 2023",false,FAKE,0
2068,Jeff Cercone,Videos show confrontation over LGBTQ+ representation.,Instagram posts,"September 19, 2023",false,FAKE,0
2069,Louis Jacobson,“I taught at the University of Pennsylvania for four years.”,Joe Biden,"September 19, 2023",half-true,FAKE,0
2070,Sara Swann,"“California Democrats have proposed Bill 553, which makes it ILLEGAL to confront or fight back against looters, burglars and shoplifters.”",Instagram posts,"September 19, 2023",false,FAKE,0
2071,Ciara O'Rourke,“Walmart must pay $500 to U.S. families who made purchases in 2022.”,Facebook posts,"September 18, 2023",false,FAKE,0
2072,Louis Jacobson,"The price of ""bacon is up five times"" under President Joe Biden.",Donald Trump,"September 18, 2023",false,FAKE,0
2073,Ciara O'Rourke,“Obama finally reveals how personal chef drowned in mysterious pond accident.”,Facebook posts,"September 18, 2023",false,FAKE,0
2074,Jeff Cercone,"In Westport, Connecticut, drones are “scanning (people) for COVID-19 symptoms.”",Instagram posts,"September 18, 2023",false,FAKE,0
2075,Madison Czopek,“We know the bank records show that nearly $20 million in payments were directed to the Biden family members and associates through various shell companies.”,Kevin McCarthy,"September 18, 2023",half-true,FAKE,0
2076,Sara Swann,“Donald Trump spent 9/11 marching into a war zone of fire and ashes with an army of his own men to save Americans.”,Benny Johnson,"September 18, 2023",false,FAKE,0
2077,Loreben Tuquero,Oprah Winfrey “managed to hire a private firefighting team” to protect her Maui properties before the August wildfires occurred.,Instagram posts,"September 15, 2023",false,FAKE,0
2078,Jeff Cercone,A World Economic Forum video reveals conspiracy behind COVID-19 spread.,Facebook posts,"September 15, 2023",false,FAKE,0
2079,Maria Ramirez,“I really don’t know who gave (Dr. Anthony Fauci) the commendation.”,Donald Trump,"• September 14,",false,FAKE,0
2080,Ciara O'Rourke,“Hillary Clinton in trouble as her dark web video leaked.”,Facebook posts,"September 14, 2023",false,FAKE,0
2081,Ciara O'Rourke,President Joe Biden’s comments confirm that the government is going to “increase the number and intensity of extreme weather events.”,Instagram posts,"September 14, 2023",false,FAKE,0
2082,Marta Campabadal,Estas son imágenes del “sismo de gran magnitud” en Marruecos.,Facebook posts,"• September 14,",false,FAKE,0
2083,Jeff Cercone,Hawaii wildfire was intentionally set because there’s “120 million tons of lithium in Maui.”,TikTok posts,"September 14, 2023",pants-fire,FAKE,0
2084,Samantha Putterman,"“Florida sort of had a mandate because they were giving the vaccine, they were demanding everybody take the vaccine.”",Donald Trump,"September 14, 2023",pants-fire,FAKE,0
2085,Sara Swann,"“Whoopi, Joy and Sunny Threaten To Resign ‘Immediately’ If Candace Owens Joins The Panel.”",Facebook posts,"September 14, 2023",false,FAKE,0
2086,Loreben Tuquero,CNN reported “breaking news” that the Pentagon announced a plan to “implant Americans with nanotech particles.”,Facebook posts,"September 13, 2023",false,FAKE,0
2087,Ciara O'Rourke,Video shows Vice President Kamala Harris discussing how women should “get ahead.”,Viral image,"September 13, 2023",pants-fire,FAKE,0
2088,Ciara O'Rourke,"“Over 1,000 missing children in Maui.”",Viral image,"September 13, 2023",false,FAKE,0
2089,Ciara O'Rourke,“Shocking video shows Biden wearing a skin mask.”,Viral image,"September 13, 2023",pants-fire,FAKE,0
2090,Ciara O'Rourke,A new photo shows Queen Elizabeth II on the day she died.,Instagram posts,"September 13, 2023",false,FAKE,0
2091,Sara Swann,Video shows Hawaiians being evicted after Maui wildfires.,Instagram posts,"September 13, 2023",false,FAKE,0
2092,Marta Campabadal,Este video muestra una “fábrica de carne” humana “en America”.,Facebook posts,"• September 13,",pants-fire,FAKE,0
2093,Ciara O'Rourke,“Congress say they will start printing 2024 ballot without Trump name in October 2023.”,TikTok posts,"September 13, 2023",false,FAKE,0
2094,Louis Jacobson,On moving forward with an impeachment inquiry into President Joe Biden with a House vote.,Kevin McCarthy,"September 13, 2023",full-flop,FAKE,0
2095,Louis Jacobson,“Ground zero in New York — I remember standing there the next day.”,Joe Biden,"September 12, 2023",false,FAKE,0
2096,Jeff Cercone,"""Modified mosquitoes have officially made it to Ohio.”",Instagram posts,"September 12, 2023",false,FAKE,0
2097,Sara Swann,Video shows a missile hitting the Pentagon on 9/11.,Instagram posts,"September 12, 2023",pants-fire,FAKE,0
2098,Ciara O'Rourke,CNN reported that “Barack Obama’s ex-boyfriend admits he was ‘prime suspect’ in gay serial killer case.”,Facebook posts,"September 11, 2023",pants-fire,FAKE,0
2099,Sara Swann,A FEMA office in Chicago is proof of a conspiracy.,Facebook posts,"September 11, 2023",false,FAKE,0
2100,Ciara O'Rourke,Elon Musk said President Joe Biden “has one month left to live.”,Facebook posts,"September 11, 2023",pants-fire,FAKE,0
2101,Ciara O'Rourke,Video shows Pope Francis slapping former President Donald Trump’s hand.,Viral image,"September 11, 2023",false,FAKE,0
2102,Ciara O'Rourke,Video shows “someone who tried to escape Burning Man.”,Instagram posts,"September 8, 2023",false,FAKE,0
2103,Ciara O'Rourke,“CNN just said Cash App went bankrupt and any funds you had in your account would have to be awarded to you through bankruptcy court.”,Facebook posts,"September 8, 2023",false,FAKE,0
2104,Loreben Tuquero,"CNN reported Sept. 7, 2023, that President Joe Biden’s family admitted “he died and was replaced by an actor in 2019.”",Facebook posts,"September 8, 2023",pants-fire,FAKE,0
2105,Paul Specht,"A Democrat-sponsored bill proposes a “1,000% gun tax on most firearms.”",Thom Tillis,"September 8, 2023",half-true,FAKE,0
2106,Samantha Putterman,"Under Gov. Ron DeSantis, “in the last five years, spending has gone up 30%"" in Florida.",Chris Christie,"September 8, 2023",half-true,FAKE,0
2107,D.L. Davis,"During the spring 2020 election in Milwaukee, a reduction to only five polling locations “came days before the election and was done without proper notice to voters.”",LaKeshia Myers,"September 8, 2023",mostly-true,FAKE,0
2108,Ciara O'Rourke,Video shows President Joe Biden confirmed “the Lahaina fires were planned.”,Instagram posts,"September 7, 2023",false,FAKE,0
2109,Louis Jacobson,Americans “currently are making less than at the height of the Great Depression.”,Isabel Brown,"September 7, 2023",pants-fire,FAKE,0
2110,Loreben Tuquero,A video shows Florida Gov. Ron DeSantis dropping out of the 2024 presidential race.,Social Media,"September 7, 2023",false,FAKE,0
2111,Ciara O'Rourke,“Barack Obama’s late chef’s wife comes out to expose Obama family.”,Facebook posts,"September 6, 2023",false,FAKE,0
2112,Ciara O'Rourke,“Joan Rivers’ daughter threatens to expose Michelle Obama.”,Facebook posts,"September 6, 2023",false,FAKE,0
2113,Ciara O'Rourke,Video shows Clearwater Beach during Hurricane Idalia.,Facebook posts,"September 6, 2023",false,FAKE,0
2114,Samantha Putterman,A new Florida law says “a father must submit a DNA test before signing the birth certificates.”,Facebook posts,"September 6, 2023",false,FAKE,0
2115,Madison Czopek,“Burning Man was a national emergency because it was flooded.”,Instagram posts,"September 6, 2023",false,FAKE,0
2116,Grace Abels,"“Norway, Finland, Sweden, Holland, and the UK have now banned gender transition surgery for minors.”",Instagram posts,"September 6, 2023",barely-true,FAKE,0
2117,Madison Czopek,"The WHO is developing a pandemic treaty that will remove current human rights protections, enforce surveillance and censorship and eliminate freedom of speech.",Facebook posts,"September 5, 2023",false,FAKE,0
2118,Marta Campabadal,Sen. Rick Scott “wants to … end Social Security and Medicare coverage.”,Debbie Mucarsel-Powell,"• September 5,",barely-true,FAKE,0
2119,Paul Specht,GOP-authored elections bill “requires valid votes to be tossed out … if a computer rejects a signature.”,Roy Cooper,"September 1, 2023",false,FAKE,0
2120,Sarah Bahari,"""(President Joe) Biden is trying to limit you to two beers per week.”",Ted Cruz,"September 1, 2023",false,FAKE,0
2121,Jeff Cercone,Bill Gates-funded research into genetically engineered cattle ticks is responsible for red-meat allergies from alpha-gal syndrome in the U.S.,Instagram posts,"September 1, 2023",false,FAKE,0
2122,Louis Jacobson,"U.S. inflation is ""now down close to 3%, the lowest among the world’s leading economies.""",Joe Biden,"September 1, 2023",mostly-true,FAKE,0
2123,Loreben Tuquero,Photos are evidence of “satanism in public schools.”,Facebook posts,"September 1, 2023",false,FAKE,0
2124,Maria Briceño,"""Las naves extraterrestres se camuflan con nubes sobre la nave”.",Facebook posts,"September 1, 2023",false,FAKE,0
2125,Louis Jacobson,"“According to the Congressional Budget Office,” the Inflation Reduction Act “will save the federal government $160 billion over the next 10 years because Medicare will be paying less for the prescription drugs they’re making available to seniors.”",Joe Biden,"August 31, 2023",mostly-true,FAKE,0
2126,Sara Swann,"When elected Georgia governor in 2018, “Brian Kemp was over $7 million in debt.” Kemp “cut a deal” to select Dominion Voting Systems as Georgia’s voting machine vendor and “has never been in debt since.”",Travis Tritt,"August 31, 2023",false,FAKE,0
2127,Madison Czopek,“We have over a million people right now that are under emergency travel restrictions … and this is due to poison being released into the air.”,Facebook posts,"August 31, 2023",false,FAKE,0
2128,Loreben Tuquero,Canadian Prime Minister Justin Trudeau announced that the government is passing the “Digital Existence Act” in response to the new COVID-19 variant.,Instagram posts,"August 31, 2023",false,FAKE,0
2129,Ciara O'Rourke,Video shows interview with Elon Musk about making “passive income” with “Quantum AI.”,Viral image,"August 31, 2023",false,FAKE,0
2130,Ciara O'Rourke,CBS reported on Oprah Winfrey reacting “to getting cancelled for stealing land amid Maui fires.”,Viral image,"August 31, 2023",false,FAKE,0
2131,Jeff Cercone,Fox News chyron called University of North Carolina shooting suspect “mostly white Asian.”,Instagram posts,"August 30, 2023",false,FAKE,0
2132,Sara Swann,“Marines caught FEMA operatives piling corpses into a mass gravesite at the Maui Forest Reserve.”,TikTok posts,"August 30, 2023",pants-fire,FAKE,0
2133,Jeff Cercone,Speaker at World Economic Forum conference proposed adding COVID-19 vaccines to water supply.,Facebook posts,"August 30, 2023",pants-fire,FAKE,0
2134,Tom Kertscher,Video suggests Canada wildfires were deliberately set to advance “smart cities” push.,Facebook posts,"August 30, 2023",false,FAKE,0
2135,Ciara O'Rourke,“CDC says new COVID variant is more contagious among vaccinated people than those unvaccinated.”,Viral image,"August 30, 2023",false,FAKE,0
2136,Ciara O'Rourke,"President Joe Biden is going to trial for “treason,” “sedition” and “crimes against humanity.”",Facebook posts,"August 30, 2023",pants-fire,FAKE,0
2137,Ciara O'Rourke,The mothers of Major League Soccer players “file complaint against Leo Messi.”,Facebook posts,"August 30, 2023",false,FAKE,0
2138,Ciara O'Rourke,"“Personas poderosas ricas … pintaron los techos” de sus casas de color azul para que no se dañaran durante los incedios forestales en Maui, Hawai.",Facebook posts,"August 30, 2023",false,FAKE,0
2139,Ciara O'Rourke,Video shows former first lady Michelle Obama “accidentally reveals what really happened to their chef.”,Facebook posts,"August 30, 2023",false,FAKE,0
2140,Loreben Tuquero,"Video shows the state of “Great Britain now,” with “78,000 people under the water.”",Facebook posts,"August 30, 2023",false,FAKE,0
2141,Marta Campabadal,"""Surfistas en California aprovechan las fuertes marejadas del Huracán Hilary, para sus prácticas deportivas"".",Facebook posts,"• August 30,",false,FAKE,0
2142,Maria Briceño,"La Proposición 47 en California dice ""cualquier persona que trate de robar artículos con un valor menos de $950 no serán llevados a la cárcel, ni serán penados por ningún tipo de ley"".",Facebook posts,"August 30, 2023",false,FAKE,0
2143,Ciara O'Rourke,Photo shows someone stealing less than $950 of goods in California.,Viral image,"August 29, 2023",false,FAKE,0
2144,Ciara O'Rourke,“Shots fired T.L Hanna High School 1 seriously injured.”,Facebook posts,"August 29, 2023",false,FAKE,0
2145,Tom Kertscher,"Women vaccinated against COVID-19 face ""unknown side effects that could perpetually go down through the lineage"" to their children.",Instagram posts,"August 29, 2023",false,FAKE,0
2146,Ciara O'Rourke,Tafari Campbell was “murdered.”,Facebook posts,"August 29, 2023",false,FAKE,0
2147,Louis Jacobson,"""I actually pushed the Deficit Reduction Act. That was the last time we actually reduced the national debt in the United States, when I was the leader of House conservatives.""",Mike Pence,"August 29, 2023",barely-true,FAKE,0
2148,Marta Campabadal,El libro “Fire & Fury” “salió un día después del fuego en Hawaii … Esto es más evidencia de que todo fue planificado”.,Facebook posts,"• August 29,",false,FAKE,0
2149,Tom Kertscher,"As of Aug. 25, ""Luis Rubiales has resigned as the president of the Spanish Football Federation.""",Facebook posts,"August 29, 2023",false,FAKE,0
2150,Jeff Cercone,"""America’s C40 cities will ban meat, dairy, new clothes, private cars by 2030.”",Instagram posts,"August 29, 2023",false,FAKE,0
2151,Louis Jacobson,"Vice President Mike Pence on Jan. 6, 2021, could have approved the 2020 electoral votes on the condition that Congress pass an overhaul of election law.",Vivek Ramaswamy,"August 29, 2023",false,FAKE,0
2152,Ciara O'Rourke,“Oprah started the fire.”,Instagram posts,"August 28, 2023",false,FAKE,0
2153,Ciara O'Rourke,“Mom of Barack Obama’s chef speaks out to expose Obama family.”,Facebook posts,"August 28, 2023",false,FAKE,0
2154,Ciara O'Rourke,“183 bodies have washed up on Lanai.”,Instagram posts,"August 28, 2023",false,FAKE,0
2155,Ciara O'Rourke,“Judge Cannon been ordered to DISQUALIFY herself in Trump's case.”,Facebook posts,"August 28, 2023",false,FAKE,0
2156,Jeff Cercone,"""Malaysian doctor put to death for giving COVID injection under the (Nuremberg) Code.”",Facebook posts,"August 28, 2023",false,FAKE,0
2157,Tom Kertscher,"The World Health Organization said there is ""a possible causal relationship"" between COVID-19 vaccines and multiple sclerosis.",Instagram posts,"August 28, 2023",false,FAKE,0
2158,Maria Briceño,El COVID-19 “nunca existio”.,Facebook posts,"August 28, 2023",pants-fire,FAKE,0
2159,Maria Briceño,FEMA and Red Cross are “confiscating” donations meant for Hawaii wildfire victims.,Facebook posts,"August 25, 2023",false,FAKE,0
2160,Jeff Cercone,Smart-city plans are behind wildfires in Tenerife.,Facebook posts,"August 25, 2023",false,FAKE,0
2161,Loreben Tuquero,“Fauci declares that all unvaccinated citizens must be locked down this winter.”,Instagram posts,"August 25, 2023",false,FAKE,0
2162,Ciara O'Rourke,“Trump says Biden is an alien.”,Viral image,"August 25, 2023",false,FAKE,0
2163,Ciara O'Rourke,Fox News reported that California Gov. Gavin Newsom said former President Donald Trump “is not eligible for future presidential elections & has asked the California’s State Assembly to pass a bill that will remove Trump’s name on any future ballots.”,Viral image,"August 25, 2023",false,FAKE,0
2164,Grace Abels,"Hillary Clinton was “EXECUTED December 31, 2018.”",Facebook posts,"August 25, 2023",pants-fire,FAKE,0
2165,Ciara O'Rourke,Celebrities are “painting their Maui properties the same weird shade of blue.”,Viral image,"August 25, 2023",false,FAKE,0
2166,Grace Abels,Lucky Charms contains an unsafe amount of cleaning compound trisodium phosphate.,Facebook posts,"August 25, 2023",false,FAKE,0
2167,Maria Briceño,"El incendio forestal en Maui, Hawai, fue provocado por un arma ""láser"" para crear una nueva ciudad tecnológica.",TikTok posts,"August 25, 2023",false,FAKE,0
2168,Ciara O'Rourke,Former President Barack Obama “reacts to chef’s wife blaming him for the death of her husband Talafi Cambell.”,Facebook posts,"August 24, 2023",false,FAKE,0
2169,Ciara O'Rourke,“Military arrests FEMA Deputy Administrator Erik Hooks.”,Facebook posts,"August 24, 2023",pants-fire,FAKE,0
2170,Jeff Cercone,“The reality is more people are dying of bad climate change policies than they are of actual climate change.”,Vivek Ramaswamy,"August 24, 2023",pants-fire,FAKE,0
2171,Ciara O'Rourke,U.S. Navy SEALs rescued 807 children who were being kept as sex slaves on a barge in San Francisco Bay.,Instagram posts,"August 24, 2023",false,FAKE,0
2172,Ciara O'Rourke,“New global virus called ID-10T is spreading quickly.”,Viral image,"August 24, 2023",pants-fire,FAKE,0
2173,Loreben Tuquero,"“There has been zero response from local, regional or federal officials” to aid people affected by the Maui, Hawaii, wildfires.",Facebook posts,"August 24, 2023",false,FAKE,0
2174,Ciara O'Rourke,Images of blue things that weren’t burned in Hawaii are evidence directed energy weapons started the wildfires there.,Instagram posts,"August 24, 2023",false,FAKE,0
2175,Ciara O'Rourke,“Marines neutralize fleeing FEMA convoy in Maui.”,Instagram posts,"August 24, 2023",pants-fire,FAKE,0
2176,Tom Kertscher,"Video shows military planes over Nashville ""dispersing materials into the atmosphere"" for geoengineering.",Facebook posts,"August 23, 2023",false,FAKE,0
2177,Ciara O'Rourke,"Images of burned cars in Lahaina, Hawaii, are evidence wildfires there were started by directed energy weapons.",Instagram posts,"August 22, 2023",false,FAKE,0
2178,Jeff Cercone,"""Los Angeles Dodgers Stadium is flooded after mocking God!”",TikTok posts,"August 22, 2023",false,FAKE,0
2179,Ciara O'Rourke,"Maui, Hawaii, police chief arrests “witnesses” in part of wildfire cover-up.",TikTok posts,"August 22, 2023",false,FAKE,0
2180,Loreben Tuquero,"A video showed President Joe Biden falling asleep during an event with the Maui, Hawaii, wildfire survivors and families.",Social Media,"August 22, 2023",false,FAKE,0
2181,Ciara O'Rourke,Video shows “articles of impeachment to be filed against President Joe Biden today!”,Facebook posts,"August 22, 2023",false,FAKE,0
2182,Amy Sherman,“After China sent a balloon over strategic sites in the United States … President Biden literally sent the secretary of state hat in hand to go kowtow and ask for a meeting.”,Mike Pence,"August 22, 2023",barely-true,FAKE,0
2183,Tom Kertscher,“Official statement — Putin assassinated in the Kremlin!”,Facebook posts,"August 22, 2023",pants-fire,FAKE,0
2184,Loreben Tuquero,“WEF admits Maui wildfires orchestrated to transform Hawaii into 15-minute cities.”,Facebook posts,"August 22, 2023",false,FAKE,0
2185,Maria Briceño,"La vacuna contra COVID-19 ""contiene óxido de grafeno"" y para desintoxicarte toma ""dióxido de cloro"".",Facebook posts,"August 22, 2023",false,FAKE,0
2186,Ciara O'Rourke,“Michelle Obama finally responds to Obama’s hidden gay secret.”,Facebook posts,"August 21, 2023",pants-fire,FAKE,0
2187,Louis Jacobson,“A higher percentage of American workers are working today than ever before.”,Joe Biden,"August 21, 2023",barely-true,FAKE,0
2188,Marta Campabadal,"""Hawaii is being attacked by direct energy weapons.""",Instagram posts,"• August 18,",false,FAKE,0
2189,Amy Sherman,"Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.’”",Donald Trump,"August 18, 2023",false,FAKE,0
2190,Loreben Tuquero,A book published Aug. 10 about the Maui wildfires is proof the wildfires were planned.,Social Media,"August 17, 2023",false,FAKE,0
2191,Louis Jacobson,“I’ve already” declared a national climate emergency,Joe Biden,"August 17, 2023",false,FAKE,0
2192,Sara Swann,“The FDA is now saying that it’s OK to take ivermectin if you have COVID.”,Maria Bartiromo,"August 17, 2023",false,FAKE,0
2193,Tom Kertscher,"""The federal government has just declared a major food shortage emergency"" in six states.",Facebook posts,"August 16, 2023",false,FAKE,0
2194,Jeff Cercone,"Video shows Hawaii Gov. Josh Green “wants to turn Lahaina Maui into state lands. All planned for smart city.""",Instagram posts,"August 16, 2023",false,FAKE,0
